SITE INFORMATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SITE BELGIUM,,,,,,Grid EP Information*,,,,,,,,,,,,
,,,,SITE CONSUMPTION,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,TOTAL kWh/yr,,,842338.0000000014,,,Hedged Price (EUR/kWh),0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174
,1,4,24,80.67500000000001,,,,,,,,,,,,,,,
,1,5,1,73.32499999999999,,,,,,,,,,,,,,,
,1,5,2,69.125,,,,,,,,,,,,,,,
,1,5,3,72.8,,,,,,,,,,,,,,,
,1,5,4,67.025,,,,,,,,,,,,,,,
,1,5,5,102.725,,,,,,,,,,,,,,,
,1,5,6,124.6,,,,,,,,,,,,,,,
,1,5,7,128.97500000000002,,,,,,,,,,,,,,,
,1,5,8,151.54999999999998,,,,,,,,,,,,,,,
,1,5,9,150.85,,,,,,,,,,,,,,,
,1,5,10,145.6,,,,,,,,,,,,,,,
,1,5,11,149.1,,,,,,,,,,,,,,,
,1,5,12,143.325,,,,,,,,,,,,,,,
,1,5,13,131.25,,,,,,,,,,,,,,,
,1,5,14,142.975,,,,,,,,,,,,,,,
,1,5,15,126.52499999999999,,,,,,,,,,,,,,,
,1,5,16,111.125,,,,,,,,,,,,,,,
,1,5,17,89.07499999999999,,,,,,,,,,,,,,,
,1,5,18,89.42499999999998,,,,,,,,,,,,,,,
,1,5,19,91.525,,,,,,,,,,,,,,,
,1,5,20,78.4,,,,,,,,,,,,,,,
,1,5,21,83.82499999999999,,,,,,,,,,,,,,,
,1,5,22,85.75,,,,,,,,,,,,,,,
,1,5,23,79.45,,,,,,,,,,,,,,,
,1,5,24,75.42500000000001,,,,,,,,,,,,,,,
,1,6,1,71.75,,,,,,,,,,,,,,,
,1,6,2,70,,,,,,,,,,,,,,,
,1,6,3,70.875,,,,,,,,,,,,,,,
,1,6,4,71.4,,,,,,,,,,,,,,,
,1,6,5,94.15,,,,,,,,,,,,,,,
,1,6,6,107.975,,,,,,,,,,,,,,,
,1,6,7,137.9,,,,,,,,,,,,,,,
,1,6,8,155.05,,,,,,,,,,,,,,,
,1,6,9,162.39999999999998,,,,,,,,,,,,,,,
,1,6,10,161.35000000000002,,,,,,,,,,,,,,,
,1,6,11,170.45,,,,,,,,,,,,,,,
,1,6,12,158.2,,,,,,,,,,,,,,,
,1,6,13,158.9,,,,,,,,,,,,,,,
,1,6,14,150.85000000000002,,,,,,,,,,,,,,,
